# Example microphone array — two concentric rings in the xy plane (z=0)
# columns: x, y, z, weight
x,y,z,weight
0.1200,0.0000,0.0,1.00
0.0849,0.0849,0.0,1.00
0.0000,0.1200,0.0,1.00
-0.0849,0.0849,0.0,1.00
-0.1200,0.0000,0.0,1.00
-0.0849,-0.0849,0.0,1.00
-0.0000,-0.1200,0.0,1.00
0.0849,-0.0849,0.0,1.00
0.2452,0.0488,0.0,0.60
0.2079,0.1389,0.0,0.60
0.1389,0.2079,0.0,0.60
0.0488,0.2452,0.0,0.60
-0.0488,0.2452,0.0,0.60
-0.1389,0.2079,0.0,0.60
-0.2079,0.1389,0.0,0.60
-0.2452,0.0488,0.0,0.60
-0.2452,-0.0488,0.0,0.60
-0.2079,-0.1389,0.0,0.60
-0.1389,-0.2079,0.0,0.60
-0.0488,-0.2452,0.0,0.60
0.0488,-0.2452,0.0,0.60
0.1389,-0.2079,0.0,0.60
0.2079,-0.1389,0.0,0.60
0.2452,-0.0488,0.0,0.60
